Round,Avg_Loss,Avg_Reward,Avg_Q_Value,Epsilon,Duration,Total_Steps
1,0,0,0,1.0,0.023999452590942383,0
2,0,0,0,1.0,0.015999317169189453,0
3,0,0,0,1.0,0.026000499725341797,0
4,0,0,0,1.0,0.021999359130859375,0
5,0,0,0,1.0,0.03099989891052246,0
6,0,0,0,1.0,0.01800227165222168,0
7,10.945677280426025,-1.3250001072883606,-0.0527326762676239,0.990025,0.03599905967712402,2
8,7.693054331673516,-1.09136287536886,-0.7623565457761288,0.8265651079747222,0.18000054359436035,38
9,6.5219015121459964,-0.9559375286102295,-0.6296255469322205,0.8061065909263957,0.024999141693115234,43
10,6.878161441712153,-1.1375744427953447,-1.0862186948458354,0.7255664080186093,0.10599827766418457,64
11,5.693442185719808,-1.0427083472410839,-1.3499893546104431,0.7040696960536299,0.03200054168701172,70
12,5.4054637636457175,-1.099330382687705,-1.5277785914284843,0.6797938283326578,0.0410008430480957,77
13,5.953533244132996,-1.1948437869548798,-1.826310431957245,0.6465587967553006,0.0579991340637207,87
14,5.437022474077013,-1.1694445080227323,-2.0927065345976086,0.6180388156137953,0.05699944496154785,96
15,5.007307041775096,-1.1513494578274814,-2.0693649541247976,0.5535075230322891,0.13199925422668457,118
16,4.736698818206787,-1.17125004529953,-2.115186619758606,0.5398075216808175,0.03000020980834961,123
17,4.216096997261047,-0.9738281350582838,-1.991124801337719,0.4982051627146237,0.09100008010864258,139
18,4.387159538269043,-0.931249988079071,-1.8825309038162232,0.4858739637363176,0.0260007381439209,144
19,5.323282384872437,-1.0856250286102296,-1.7372971296310424,0.4738479773082268,0.02900075912475586,149
20,4.683259384972708,-1.0495536242212569,-2.0137439966201782,0.457510005540005,0.04399847984313965,156
21,4.734876445361546,-1.1282366556780679,-2.0238142354147777,0.42650460709830135,0.07999992370605469,170
22,4.438134864756935,-1.0629112124443054,-1.99176361686305,0.3877593341372176,0.11299991607666016,189
23,4.3652631640434265,-1.0357422083616257,-1.913603037595749,0.37251769488706843,0.04800105094909668,197
24,4.344868115016392,-0.9506696888378688,-1.7557096651622228,0.3596735257153405,0.038999319076538086,204
25,5.427946281433106,-1.3881250619888306,-2.030893397331238,0.3507711574848344,0.028000831604003906,209
26,4.774310310681661,-1.1345052272081375,-2.0187866191069284,0.3302941218954743,0.07199907302856445,221
27,4.489976065499442,-1.154687523841858,-1.9218719857079642,0.31890579420988907,0.03700089454650879,228
28,4.326357898258028,-1.1411458452542622,-2.083120482308524,0.28704309604425327,0.11699962615966797,249
29,4.391341930343991,-1.073958362851824,-1.4862858965283348,0.23255008201124722,0.247999906539917,291
30,4.581004706296054,-0.9874148043719205,-0.8199293507771058,0.17651675623376062,0.31299853324890137,346
31,5.647813606262207,-1.0912500023841858,-0.08323248475790024,0.17214774642209296,0.034000396728515625,351
32,5.46088333427906,-1.047656275331974,-0.13592501915991306,0.16538114245489302,0.04800224304199219,359
33,4.669537791184017,-0.9404018148779869,0.24337066869650567,0.14372497725712216,0.17300057411193848,387
34,5.600478076934815,-1.0612500369548798,0.3959993064403534,0.14016760486247823,0.0319972038269043,392
35,4.60120906829834,-0.8228124856948853,0.39604019820690156,0.13669828187021155,0.031000137329101562,397
36,5.06559392122122,-0.876802907540248,0.8956666244910314,0.12807462877562611,0.07599973678588867,410
37,5.903031826019287,-0.9026401063491558,1.2619236276067536,0.11074712159185099,0.18399953842163086,439
38,6.075381197035313,-0.9385742330923676,1.489747703075409,0.1,0.20100069046020508,471
39,7.570305459639606,-0.9520527118561315,2.570559866288129,0.1,0.3110029697418213,522
40,7.778201081536033,-0.9015625065023248,3.393017812208696,0.1,0.06599855422973633,533
41,8.911375904083252,-1.0479687094688415,3.1499829053878785,0.1,0.06300044059753418,543
42,8.041399669647216,-0.971875011920929,3.1758053302764893,0.1,0.029000520706176758,548
43,6.710190007561131,-0.8223684343852495,3.289752345336111,0.1,0.11704683303833008,567
44,10.736015796661377,-1.0815625071525574,2.8290265560150147,0.1,0.03200054168701172,572
45,8.417799854278565,-0.9709374904632568,2.2866485118865967,0.1,0.031000137329101562,577
46,9.41150000220851,-1.070888174207587,2.582600938646417,0.1,0.11400008201599121,596
47,6.935900099306221,-0.9232869108757341,2.7484334635447305,0.1,0.5010027885437012,679
48,7.077641089757283,-0.8562500228484472,2.916704297065735,0.1,0.034998416900634766,685
49,7.9633499292226935,-0.9075721502304077,3.2957517367142897,0.1,0.08599972724914551,698
50,9.300502109527589,-0.8712499737739563,3.7806790351867674,0.1,0.028999805450439453,703
51,7.38456392288208,-0.7813281290233135,4.036187642812729,0.1,0.2550013065338135,743
52,6.961199773682488,-0.837717024402486,3.7254373961024814,0.1,0.21599793434143066,779
53,8.53956847190857,-0.9503125324845314,4.662883710861206,0.1,0.062000274658203125,789
54,7.31860704932894,-0.8818080499768257,4.301155507564545,0.1,0.1550004482269287,817
55,7.760136508229953,-0.8665578476528624,4.00073400895987,0.1,0.40400123596191406,884
56,7.106977811226478,-0.7784855824250442,3.878370450093196,0.1,0.08299922943115234,897
57,8.121441204469283,-0.8192994696098369,4.993636875362187,0.1,0.5379986763000488,988
58,8.91782306432724,-0.8150000214576721,6.033690285682678,0.1,0.127000093460083,1008
59,9.55265740553538,-0.7462239687641462,6.885212620099385,0.1,0.07500219345092773,1020
60,10.438094125475203,-0.7589285842009953,7.228814806256976,0.1,0.20299911499023438,1055
61,9.54635950922966,-0.8469140790402889,6.89453843832016,0.1,0.2350001335144043,1095
62,8.008732658166151,-0.7256009853803195,6.774030116888193,0.1,0.1529989242553711,1121
63,8.390097754342216,-0.8303571130548205,6.616257463182722,0.1,0.04799962043762207,1128
64,7.77159875089472,-0.7112216055393219,6.6780995455655185,0.1,0.06500029563903809,1139
65,6.794209337234497,-0.5896875262260437,7.042075252532959,0.1,0.03700065612792969,1144
